nim,name,major,student_pddikti_status,student_status_mesin,student_blockchain_status,diploma_number,nina,token_id,tx_hash,pdf_cid,metadata_cid,diploma_blockchain_status,pddikti_record_status,pddikti_eligibility,pisn_nina_status,sivil_status
20210011,Bella Prabowo,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4111,040410582605010,1010,0xfc7d74521191bcd8a215a211449984d21eeeb208dc70a71fcd0d070e5590a294,bafybeiah27vdpdzupyyhboqntjfn3odj7clw2z4patwggkeubz3g3kc5mu,bafkreiaqlovrwfbw2hpvkzkch6geg6kizl6zdppwm6lyednamufnbcoqzu,verified,lulus,eligible,aktif,aktif
20210012,Lala Yuniar,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4112,040410582605011,1011,0x445d6bc06354b7e7a17b67d58f4e090ec2e8f77d6151473859df57befc3567bb,bafybeibf7ncgsv44or6bt53uarnri3kscou6uaaztetbs5lofbcnkifjv4,bafkreie5mqac7d522fmidanr3s5axeazvztfrpqidi5gmaxfaonm7uupdq,verified,lulus,eligible,aktif,aktif
20210013,Restu Wacana,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4113,040410582605012,1012,0xfa2e43fc2afc1798a259cb4a85b0a4fca1f5e61682ed14a48874955691645ee0,bafybeidb7jujzbyxfjsubjkoa6lmgb5lep7gplugjibuees2ruespfbh5q,bafkreie3cvqv7mxv7zojgpixoevm4gxyqneyvgkjn5wxwowdm4ysubocmq,verified,lulus,eligible,aktif,aktif
20210014,Candra Utami,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4114,040410582605013,1013,0x54c97f49096a4ab41b8418cdd91881e47bba753d87474064cdcc0ce7b4c82284,bafybeifxlvf6i4pgrmbsd7wnhbamd7m6i7cjxnuboxxvfpy5ndpi6nku34,bafkreias6b3pmeo3eezic7rke4k3oco2orip3slkriavgpmanf5tynqjma,verified,lulus,eligible,aktif,aktif
20210015,Paris Ramadan,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4115,040410582605014,1014,0x0eec73f35f5f98a0d4ca16007831f9e5d1e83a1c9f7cca43b53f7124b73bf698,bafybeifp4pyvgnca2ardt662yj5tc4ni3nkto4ot2wr5obgko77mm5kvxe,bafkreifl53qpnjy6lh7vc5pxu2otmuzdgpkukth3rtech2c4kjaepkh5za,verified,lulus,eligible,aktif,aktif
20210016,Vivi Yuniar,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4116,040410582605015,1015,0x4c97b8962aff0c6063645f949475f9bb216416a1cbd743868b3feb8489e872dc,bafybeifzywgmq4qj6faefrcocbv5dmxqvuko64vwrhksuhcgqwqvtqtpbq,bafkreia3feidddy4tdvro35ll7jjyffcjn6hd2motoed5kndwbxhgeixke,verified,lulus,eligible,aktif,aktif
20210017,Olivia Nugroho,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4117,040410582605016,1016,0xe8aef0b19b3df9d45eef9e5e9c05d58c5b4ccb58a7fda6bff781409a186d00aa,bafybeigvnyttsaorifhb6cesjinb6mvoqxeszwpcdjv44ysshi7wj22rvi,bafkreihx5tw4trse2kurljbp7xgwzuq4qkzmcoadaz6hderb7fg3w4xiyi,verified,lulus,eligible,aktif,aktif
20210018,Candra Wahyudin,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4118,040410582605017,1017,0xcc73a031ccab7d78a0a6595c8aa533eb30aaad0e66b60ba8f8008e9bf4e118dc,bafybeihw76foqlexuh5wqnwwpjwsjz24pzq7nerphbioocxr5kygcefyqe,bafkreihhi6e2sl6cd33ducxhh73nyqvlbf53nk47us2suyhc23sbuyw6ri,verified,lulus,eligible,aktif,aktif
20210019,Anita Kusumo,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4119,040410582605018,1018,0x728bba1d793a26a595758daf247aa8bb7f5d7358a299c3fe8c02f31a7c8d483d,bafybeihhtikdznntskun3abymdqt7rfsm43qjfopa3q5x6gj2hfjxbob6e,bafkreihwmi3i6x2ymq4ddwnxwht2fv3kgfjt2i53isqw4wzhwh6eoefz5a,verified,lulus,eligible,aktif,aktif
20210020,Bakiadi Laksita,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4120,040410582605019,1019,0x9fa6ef89d1c206f2ba63e64e9f4ce3db783cfa290f365a082bdeb548bc22ae37,bafybeifrhtrpozdyd5njpefqk5u52nv2z25rzzkoqi3k2bie5dpk6k6ctm,bafkreigqef5o5b4voz5nnbyfhpq7cofoqhhrjodkr4qem6pi7aoin4draa,verified,lulus,eligible,aktif,aktif
20210021,Pia Marbun,Manajemen,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4121,040410582605020,1020,0xa2428cda1da900d2962790eaafab34a020e4c0f27108aca5619e406b8ddb77cf,bafybeievjkq4fcofyatx2xmyfutwlfkyzfndl3vdbj2qqtsuz3xkualeie,bafkreiailcfm5ayg6iuf6r3pbfsunmsb4jxxcagsk7dri5s4q2pkofe75m,verified,lulus,eligible,aktif,aktif
20210022,Nasab Saragih,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4122,040410582605021,1021,0x7904d0fa2c7889c0ff29a72ea5c4c1a029d4860e2112fffb6f95d5fcb06ed8e5,bafybeig3kwxy2xhsttmznb6hjgvunef6zvrgplldtkc2viuf7m2kptw74y,bafkreih4pyplquforrbuztod5t6frmaiuyd5lezj3zm5nublspadjf3rde,verified,lulus,eligible,aktif,aktif
20210023,Dirja Prasetyo,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4123,040410582605022,1022,0x258f8e8b4acc8df43c8eeba79718d0aed35a92d336e4730c021463fbca080bea,bafybeif6vzjgazvbtltnzkrmyk6c3a7jgn7o4clvbhwdeutw6romt364mq,bafkreibmiswazfrksq6g24eiurclkp454a74267bnmo4et5uuwgmr27iiq,verified,lulus,eligible,aktif,aktif
20210024,Bagus Usamah,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4124,040410582605023,1023,0x9d5a130d40f34113b56bea5aba7adf86f69bdc1e2d0a97bf4c3ac93d9304ed36,bafybeighh4r4jahy2mkiyb2yggqudn3laezdzmy4vethzvnqwzzqnrt6ou,bafkreiclu5z6einef2zlopqos66sj4hklc3nptaual3oai5gw5ux7ixhta,verified,lulus,eligible,aktif,aktif
20210025,Estiawan Winarsih,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4125,040410582605024,1024,0x79d5a9e8b249bb5c2de1b5f56e5487bef282833996a260447c20f50370971e7a,bafybeigkqw2fd42nr2s7o2wicp5p67blpkigljr6z26e5e4q4k5x6bzjii,bafkreiakyoatvq3tf5lvz3omtdattnjzortpgql2nm63faadelmphmobbq,verified,lulus,eligible,aktif,aktif
20210026,Fitriani Kuswoyo,Manajemen,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4126,040410582605025,1025,0xbecd3173eba0d7966a32680f1797326dedc42498b59f465e877c0b94738a774b,bafybeidfao2nfaok4mbpnwzkujlynhwupnxqwpwqv5czan3n6lj26dwtua,bafkreif3asnjxyetoqs6nve6e3nzhkv7oael7x6oojszfk7d364e7g2mpy,verified,lulus,eligible,aktif,aktif
20210027,Muni Yolanda,Manajemen,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4127,040410582605026,1026,0x20e03d09a3390b0d1d09af7b856a799d750893b23bb27e9e04bed3ec5c55120d,bafybeigz62wul4vwimulhad22zl4pzq66mspa5jvouvyqifqwcntbuhqfu,bafkreiggqerhfw5sddmaeibiu3a6bxtm6eot7akrq62fsikqcflf75tvkm,verified,lulus,eligible,aktif,aktif
20210028,Dadap Nasyiah,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4128,040410582605027,1027,0x1d3fcc8bdec8e021ee77caadd4bd002c625508248b63befbad9ca15cfec3bc83,bafybeicyjyb4aoij4vzg4g2sl6oh3wg7ams44rln36dig6m623ahodbdme,bafkreibz34cxolumv6y35umadsnsinuljnvrvtsyc3ybco4kylyvv4vl6y,verified,lulus,eligible,aktif,aktif
20210029,Yani Pudjiastuti,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4129,040410582605028,1028,0x51054d7876029045f79bf1d6e85fe84b81a033d1c2879f7ed12657b65a1715db,bafybeigjo6t7hkzrfbvb7seqgo6qrwyew5jtcsirm4luujrkjaydagyid4,bafkreiex3ugs2r232qzjsncfaq5e7awgjzxk4dn2pzqybh45lfkyl5o4ju,verified,lulus,eligible,aktif,aktif
20210030,Hasim Laksita,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-4130,040410582605029,1029,0x460fbc959ee9558735a3fdc9e81ac690f2880898665869b1612c69c32f33055f,bafybeidifxpcy73mmloml6ivydfpg2mt3wup4mvgh3kukvtzwt5eohsu4y,bafkreibgrukojuvxv3c7lxtlklypamxme55puodabjgrkannykqf5m5bkm,verified,lulus,eligible,aktif,aktif
20210031,Hani Hasanah,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0031,040410582605030,1031,0x58300115586d63c2e8e2577d8ceeef212a169f6e35e7df8bae3c13778c04bd09,bafybeigj47sirx2loi446inbubjw7r2sdiowold4z3ue7rfd6luyjkk35a,bafkreiacr3qaevohkrjjovawq54y3dty233qj4unjsewf6xh36brlg7o5y,verified,lulus,eligible,aktif,aktif
20210032,Gasti Hakim,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0032,040410582605031,1032,0x58300115586d63c2e8e2577d8ceeef212a169f6e35e7df8bae3c13778c04bd09,bafybeicfm3hq435b7r5wepngqjfutshfjzcj4rljpuyq4sjb5gszzlzclm,bafkreihxpf5y24ueszspywcv4vz5l2vv6txtjmgovh42tz4dqpjnfnsrn4,verified,lulus,eligible,aktif,aktif
20210033,Olivia Nuraini,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0033,040410582605032,1033,0x58300115586d63c2e8e2577d8ceeef212a169f6e35e7df8bae3c13778c04bd09,bafybeih3ks3ihat3uee6cnjjhuhlz7tgxzo7mc3dfzzsfsbkessoegd3oi,bafkreihbo3kcwsnbdh2huvuaihucuiv543yg352ws66fblvgsgezgrvfri,verified,lulus,eligible,aktif,aktif
20210034,Mursita Prakasa,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0034,040410582605033,1034,0x58300115586d63c2e8e2577d8ceeef212a169f6e35e7df8bae3c13778c04bd09,bafybeiersmwtjbou2dlgpw7pnqu7nbohw2cbenf5vq4xurnvkacc3okcdq,bafkreias6g25zlel2kjlnv2twlptjgzmdimt74idneaqclz5mfn4uv7cvm,verified,lulus,eligible,aktif,aktif
20210035,Lukman Hutapea,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0035,040410582605034,1035,0x58300115586d63c2e8e2577d8ceeef212a169f6e35e7df8bae3c13778c04bd09,bafybeihfjfsqhdqtp3mbznjgnoo6t6k7u64qqw3sjev5wshuduzhzfpd5e,bafkreiaqd2vnx2ginbtczfj5pkdqxvoxoeoreft6fhsj2o3blwuui6qmt4,verified,lulus,eligible,aktif,aktif
20210036,Halima Saptono,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0036,040410582605035,1036,0xdfe1cae5ae34a5be8b519698d88858676ca8c3476237131be850e194559145f6,bafybeierztrtyzpcz5e2gvlmxn54nmbekauxkbwlvansrl6juvvt4ybsta,bafkreiar2btppkp34l2t2qms6niaqbkfweujo6eg53c7wk4y24ambfxwwi,verified,lulus,eligible,aktif,aktif
20210037,Jagapati Oktaviani,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0037,040410582605036,1037,0xdfe1cae5ae34a5be8b519698d88858676ca8c3476237131be850e194559145f6,bafybeibt7jylzzgpd662xixrse7vvq3guvqb5v24gujphllj7qe5ufbjei,bafkreiaki76hpqcgtu7xg5shkyfd3axbt6o55ct6kll3guzwzdoi73e2cm,verified,lulus,eligible,aktif,aktif
20210038,Wardi Tampubolon,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0038,040410582605037,1038,0xdfe1cae5ae34a5be8b519698d88858676ca8c3476237131be850e194559145f6,bafybeibkprm5v6qk54auzrio2gjpsarafszgwhm6bxlx7kugaaljx7q7di,bafkreihogb3nkoqligz7xxop5tcab5726kalcaxly6oxu7ib6x5taipcmq,verified,lulus,eligible,aktif,aktif
20210039,Rahmi Yolanda,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0039,040410582605038,1039,0xdfe1cae5ae34a5be8b519698d88858676ca8c3476237131be850e194559145f6,bafybeibnq5zsv36h3yllqgh5wulpwyli7ohcw5vksth72fwidwy6miij7m,bafkreifunqd7ovx3yg4ajcsjdlds6bdpe6gl7nc5efnfzgohct2oxe737u,verified,lulus,eligible,aktif,aktif
20210040,Eman Latupono,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0040,040410582605039,1040,0xdfe1cae5ae34a5be8b519698d88858676ca8c3476237131be850e194559145f6,bafybeigifh2xtjeyf5f5m5whx2pau4glvowq7m7tvw3mj5abn5q7zj3fpy,bafkreifg6wafsidpbir4gepgmchwrmfugs5tl3rlf2tnvnvy5gfjsic5dq,verified,lulus,eligible,aktif,aktif
20210041,Nasim Siregar,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0041,040410582605040,1041,0x0cae20ec04de9836be27cffdff19c04c0c104e66d6a9e89e73b6b51a801c908b,bafybeiayj4xsr43xkardiqans722y2oralrpwcxvpo4ammi33v5sbrdgb4,bafkreiba5kwbiwbu4qrp4oz33e23ekyu7bp56siy5cawsawfg6hrva4tqa,verified,lulus,eligible,aktif,aktif
20210042,Mahesa Anggraini,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0042,040410582605041,1042,0x0cae20ec04de9836be27cffdff19c04c0c104e66d6a9e89e73b6b51a801c908b,bafybeiansbb5dylagfqbkcdpgx27eovsbq3pc5i3wywtcnrqckxgksgtta,bafkreibkqcukpsgcs26svmuv6dtzjrbpevavsbkmt64mtgdpbjziidvcoe,verified,lulus,eligible,aktif,aktif
20210043,Opung Handayani,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0043,040410582605042,1043,0x0cae20ec04de9836be27cffdff19c04c0c104e66d6a9e89e73b6b51a801c908b,bafybeiebdkm7dmitvtodbfwvydputvgnanmru5v4qd5noyxzcmf7snn2vu,bafkreidkfebxbcmknbus6os3ux7dzet2urbwm77cftnvtnn4ylleclu2ji,verified,lulus,eligible,aktif,aktif
20210044,Kenes Firgantoro,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0044,040410582605043,1044,0x0cae20ec04de9836be27cffdff19c04c0c104e66d6a9e89e73b6b51a801c908b,bafybeieknw446dbj2b4mvdgve6vzg3gss6dpuuesbjfc4uwufqpo3rxzpu,bafkreianwkpoupceqkjyxf6yb7hd7vxzhci6camnlxtl542zt3ycvanyn4,verified,lulus,eligible,aktif,aktif
20210045,Karimah Gunarto,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0045,040410582605044,1045,0x0cae20ec04de9836be27cffdff19c04c0c104e66d6a9e89e73b6b51a801c908b,bafybeiftgbghgvmginp7wpecqw5guhlnyicrrjggisbi74lwjbhggau3xe,bafkreifwfeqbuiantny4vnxpn6x5i4oz7reqyq2coz3hruy46ace3gttbe,verified,lulus,eligible,aktif,aktif
20210046,Raina Mangunsong,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0046,040410582605045,1046,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeidbk5mc5fz732y5344bwb3kbchb3p4rn7riao2pweqo3abj4jeppq,bafkreiayhfecr5zzzi3gi52ojwibzubmxbrhlnuiwf2srszy6jda2552ky,verified,lulus,eligible,aktif,aktif
20210047,Okto Sitorus,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0047,040410582605046,1047,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeibdjd37brusudppjrwucbwdezudblb3o7osjenvqsj4irp3vvfjzq,bafkreifhpjtx7h7oxt3menho3p7zqxnlro45pj7qufbqws4qbvryyvqymq,verified,lulus,eligible,aktif,aktif
20210048,Harjaya Firgantoro,Manajemen,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0048,040410582605047,1048,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeihqx7kx4l65mbi636lfqpqvsv46moijkrvlta2bsd2rmxe6ti7qeu,bafkreicdy2q76nmk6kbf6lldqeu2lp2znwmipdjzbxtlhyw3vjqugkpsva,verified,lulus,eligible,aktif,aktif
20210049,Ajiono Wahyuni,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0049,040410582605048,1049,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeiblaqprzudyhiw4dqmztyt523dawzdtlkzlokcytyutjkb7lhj5t4,bafkreicppoh5yspnwrzbwx4kpurl4ha7xu5ou7zil3qljgxbrm5zrryuyq,verified,lulus,eligible,aktif,aktif
20210050,Shania Nasyiah,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0050,040410582605049,1050,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeieuiy2enflbtlttyxr5qmdjj3ftmyrqu7rf35audyjneacp5fq52y,bafkreiedawwn6ipmpazztxbkdg5roqanaxtrpns4pdl2xdyivksnnbkr6m,verified,lulus,eligible,aktif,aktif
20210051,Balangga Riyanti,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0051,040410582605050,1051,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeia323u42obdwdfb5v3bu7ezn673ufzcrlbl62ppxh3pet5regslmi,bafkreicnkrl4u64mt4if5nyeaqkhkzasjpp6s2e74pp5kurfjc55j2yrui,verified,lulus,eligible,aktif,aktif
20210052,Harsana Permata,Manajemen,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0052,040410582605051,1052,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeiedyvvazm5duhblzczwm5okj5phhfrtkkjctcklzycwyjnpirow7u,bafkreie3itm47inhmyibpdniskfnl5eun3y6lj5wb6l2uhzjfjtkubp4tu,verified,lulus,eligible,aktif,aktif
20210053,Galih Astuti,Teknik Elektro,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0053,040410582605052,1053,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeibr4zpd5hg2jv3ozuoe367pdmt4oscseugpfwzndbipjjpenqyady,bafkreifi6hhpaa42yr4lpbu67oknp7g4x33xirqvusnxx5bp3rmimdkk6i,verified,lulus,eligible,aktif,aktif
20210054,Ophelia Saragih,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0054,040410582605053,1054,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeif66gkoleswz6ba55nzck4wdc35iu7vyulpdml2ubjoi6a5kdj4hy,bafkreiaif2e63v762bflk7akqsihhqk5ja7wtry6psotrjahkewig5fjmq,verified,lulus,eligible,aktif,aktif
20210055,Imam Widiastuti,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0055,040410582605054,1055,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,bafybeicaft3arnmmqs33wvpsqkcgwyu36id4vvxfqlgluuiivvomdabk7m,bafkreiahbrjpf3f5jigwf45pdnwy3liy3yptyv77xou5xln74v6anapdfq,verified,lulus,eligible,aktif,aktif
20210056,Gadang Suwarno,Akuntansi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0056,040410582605055,1056,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,bafybeih46brcaw5zyrtk522tevjgaothjidm4chkz3ywsqst4jiym4chgq,bafkreiftq43aume2k4a5hxrzrk4xcongjnplosvh6mvj4brj55km3uwulm,verified,lulus,eligible,aktif,aktif
20210057,Samiah Prabowo,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0057,040410582605056,1057,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,bafybeignvzrur3mwtc7vvrhgytmzlerkeclyrdma76vliqi72yjpncrc6m,bafkreieykxvyvto2nangiivhs6aswhi2subr5fcg4a3mxaqdqhwrsdao4e,verified,lulus,eligible,aktif,aktif
20210058,Oliva Wijayanti,Sistem Informasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0058,040410582605057,1058,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,bafybeiaco5vxkiezxmhbsgpurxfrdvpag3uczcyuw22c4pj7ow4topmetq,bafkreidxfcnn2eswocm5cnklzjh6fsiqwr4meh7fqhuapy6uvf6jusnwoq,verified,lulus,eligible,aktif,aktif
20210059,Ajiono Gunawan,Teknik Informatika,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0059,040410582605058,1059,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,bafybeido3twuf4tkynzkjd36w4clxrbg5s6nqhoyipeawpjakd7es4pycu,bafkreibrqgtgmn4slxl2gdgn7skbpgqouysttwt4jfuky2f37bb6q67x7e,verified,lulus,eligible,aktif,aktif
20210060,Nasim Winarno,Ilmu Komunikasi,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0060,040410582605059,1060,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,bafybeigsnxvs6x5meul7bzuee77omgkhuxzokjn7cdzf2l2tcj2qjd45gi,bafkreidtz6krabvquuh5ergpmdnfrh77j44wjrinko3r5n3e4sba7bpuwu,verified,lulus,eligible,aktif,aktif
20210061,Gawati Nugroho,Manajemen,eligible,SIAP_DITERBITKAN,pending,IJZ-2026-0061,040410582605060,1061,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,bafybeienkmfooybffn3aqtzj5ll3vpxlal4biuhmfj4ur6hks4ar74fazy,bafkreig6xrvvemvi24dcog2suqhgrqhcnn7rgubngi44yoreav22iqnyfe,verified,lulus,eligible,aktif,aktif
